"","GTEX.111VG.0526.SM.5N9BW","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11NV4.0626.SM.5N9BR","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.13NZ9.1126.SM.5MR37","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55E.0826.SM.2TC5M","GTEX.R55G.0726.SM.2TC6J","GTEX.TKQ1.0126.SM.33HB3","GTEX.YFC4.2626.SM.5P9FQ","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZYY3.1926.SM.5GZXS"
"ENSG00000265430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000118596",113,140,163,201,214,90,126,125,266,163,95,164,178,64,67,199,400,66,142,225
"ENSG00000257146",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3
"ENSG00000237176",0,0,6,1,2,0,1,2,4,2,0,0,6,0,2,1,5,1,7,4
"ENSG00000264437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257294",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000258184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198673",34,40,15,25,62,100,31,74,45,95,34,58,145,34,14,36,93,58,41,37
"ENSG00000242922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257528",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
"ENSG00000213363",4,1,4,4,6,1,2,4,3,3,4,3,9,3,3,3,12,0,1,3
"ENSG00000252883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257880",0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,2,2,0
"ENSG00000258316",0,2,0,0,2,0,0,2,4,0,3,0,2,2,4,0,5,2,2,0
"ENSG00000135655",3927,2833,3838,3563,6230,3117,2067,4219,4095,2760,2905,2989,5600,1657,1315,6665,10130,3243,3007,3509
"ENSG00000200814",2,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"ENSG00000061987",4833,4465,3265,6023,6029,4932,4025,6546,5160,5669,4736,4015,5667,2606,1237,9126,9137,6315,3848,4162
"ENSG00000257568",19,5,2,0,14,4,2,4,4,7,7,1,7,2,0,10,7,4,2,4
"ENSG00000202034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221949",65,42,26,66,43,37,57,76,32,77,34,48,30,40,15,166,33,211,21,39
"ENSG00000199179",2,1,2,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0
"ENSG00000257354",199,184,44,402,142,194,341,363,142,190,378,146,184,89,68,635,153,259,70,94
"ENSG00000111110",607,485,810,614,276,234,276,931,714,907,575,379,794,655,95,888,550,1175,379,508
"ENSG00000238475",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241941",2,0,1,0,0,0,0,6,1,0,0,0,2,0,0,0,0,2,0,2
"ENSG00000213352",2,1,1,0,0,1,0,2,0,2,2,0,0,3,1,6,0,3,0,2
"ENSG00000200296",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252660",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000139239",130,99,281,224,161,155,81,202,191,183,64,37,757,475,105,348,262,211,136,194
"ENSG00000257779",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000250517",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000257664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166148",62,399,54,492,81,118,211,343,342,376,206,124,224,255,63,557,114,266,102,47
"ENSG00000257332",0,0,0,10,2,6,8,6,0,2,0,0,2,0,0,9,0,2,0,0
"ENSG00000258117",0,37,7,58,58,51,61,94,26,102,23,24,35,40,5,45,38,108,9,7
"ENSG00000177990",3811,3292,2712,3383,2698,2317,2773,4799,3829,4932,5199,1304,5790,1864,661,5349,3581,5308,1801,1727
"ENSG00000249753",1,5,0,7,4,2,2,5,2,4,2,2,1,2,0,5,5,4,2,3
"ENSG00000257005",2,2,0,0,0,0,0,1,0,0,0,2,0,1,0,4,0,1,0,1
"ENSG00000255583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000118600",703,791,956,778,971,911,671,1129,1056,1682,717,601,923,881,150,1414,1284,972,806,881
"ENSG00000255850",2,1,0,0,1,0,1,5,3,3,0,2,1,0,0,1,2,0,1,0
"ENSG00000255642",42,127,66,87,76,29,55,91,113,106,30,72,111,79,14,128,127,72,89,107
"ENSG00000265796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196935",1029,885,1872,1790,831,1086,941,1858,1391,1817,988,1191,1557,1103,394,2741,1417,1450,965,718
"ENSG00000242087",0,1,1,2,0,0,1,1,0,0,0,0,1,3,0,3,4,4,0,0
"ENSG00000256571",0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2,0,2,0,0
"ENSG00000256399",0,0,3,6,2,2,0,6,0,2,0,0,2,6,0,0,0,2,0,0
"ENSG00000255780",0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,2,2,0,0
"ENSG00000255886",5,2,0,0,0,0,1,1,4,1,2,0,1,0,3,1,0,0,1,0
"ENSG00000255817",2,2,2,2,1,3,3,2,1,2,2,0,2,0,0,2,0,0,2,1
"ENSG00000255629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174206",391,376,375,504,435,379,302,575,384,418,408,299,491,225,143,623,704,532,278,395
"ENSG00000212298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000243024",11,3,51,15,13,7,10,10,20,24,16,11,41,14,1,8,12,14,14,10
"ENSG00000251788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"ENSG00000256192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185306",5,0,7,3,14,4,1,5,10,4,1,15,10,2,0,2,6,8,0,4
"ENSG00000256293",0,0,0,4,15,1,4,0,1,0,0,3,4,0,2,2,0,2,1,1
"ENSG00000238440",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000184575",4157,4126,18935,5852,4931,6935,4426,4771,4753,6428,3774,4366,4396,3590,1288,17251,6574,8714,3151,6950
"ENSG00000255566",7,10,8,21,14,32,27,15,17,7,11,13,5,0,0,68,17,3,0,5
"ENSG00000183735",1516,1179,1351,2092,1619,1393,1148,1219,1492,1526,1177,1253,1287,856,438,3315,2065,1990,1208,1108
"ENSG00000256199",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000223294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256670",0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153179",1428,1881,1024,1492,1801,677,752,1185,1622,1210,1243,1216,1495,852,556,1501,2737,1197,1503,1344
"ENSG00000207546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ENSG00000256314",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
"ENSG00000135677",5613,10213,6143,11278,5525,9528,6554,11436,9395,15456,6192,7398,13413,10135,2084,17956,8400,16329,6504,7727
"ENSG00000215159",2,5,1,0,0,2,3,2,4,5,0,0,6,0,0,4,2,2,0,3
"ENSG00000238592",1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000111490",280,249,357,610,268,305,204,431,339,330,238,366,269,225,102,1022,440,653,242,362
"ENSG00000243020",0,0,0,0,1,0,0,4,0,0,0,0,1,3,2,4,2,4,0,0
"ENSG00000255693",8,2,2,9,4,0,0,4,0,0,4,6,0,0,0,11,13,7,2,0
"ENSG00000248995",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198671",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000156076",4,9,2,2,4,1,6,2,2,6,0,2,4,5,7,8,10,0,10,0
"ENSG00000207099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174106",1576,1483,1519,2603,1828,1730,1494,1675,1866,1984,1568,1828,1752,1124,589,3516,3019,2824,1297,1286
"ENSG00000174099",2530,7321,2183,3762,1330,1382,2401,2349,2577,3798,1864,1248,3142,3372,627,3489,1737,2399,5008,2848
"ENSG00000250280",4,6,0,0,0,0,6,4,0,2,0,2,0,4,0,1,0,5,0,4
"ENSG00000215208",0,4,0,0,2,0,1,0,0,1,0,0,0,3,0,2,0,0,4,0
"ENSG00000250748",3,2,1,1,9,1,2,1,1,3,0,2,0,7,0,2,0,14,5,2
"ENSG00000255866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000256268",4,10,0,2,0,0,0,0,2,0,1,0,0,5,0,4,5,5,3,4
"ENSG00000256915",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213344",0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000241749",10,0,0,1,2,13,4,2,4,0,2,0,4,1,1,4,2,13,0,6
"ENSG00000149948",7,6,30,4,41,16,13,58,31,16,60,14,58,10,4,22,42,69,14,27
"ENSG00000197301",42,7,513,68,121,245,83,253,689,89,551,162,1475,64,40,318,258,863,36,110
"ENSG00000267942",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000256083",0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,1,0
"ENSG00000256259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213343",0,1,0,1,2,0,0,6,0,0,0,0,6,0,0,4,0,2,0,1
"ENSG00000251857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139233",488,652,1041,1044,754,777,623,700,771,839,532,725,897,513,216,1708,1113,1329,460,644
"ENSG00000239335",24,36,105,27,0,16,14,47,1,47,24,38,43,23,11,28,144,41,27,37
"ENSG00000155957",3288,4788,3716,4819,3762,3787,3181,4610,3917,6315,2560,3662,3970,3041,838,8421,5570,8636,3636,3598
"ENSG00000090376",1481,2124,2426,3384,1305,1981,1529,1514,1293,1422,742,1619,2767,830,740,3845,2571,1354,1429,2086
"ENSG00000225422",23,49,29,66,10,24,15,24,22,18,20,27,58,25,26,67,34,18,15,20
"ENSG00000266539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256072",1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0
"ENSG00000256777",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
"ENSG00000222744",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000127311",92,104,116,68,202,36,34,110,204,96,122,94,146,33,38,50,497,20,132,118
"ENSG00000238528",11,0,2,2,7,0,0,4,13,4,4,4,4,1,4,1,26,1,3,2
"ENSG00000155974",271,446,621,746,326,281,564,699,608,998,846,312,750,365,108,672,495,1076,192,464
"ENSG00000256285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256420",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0
"ENSG00000256248",1,3,4,3,0,2,6,2,1,3,2,2,1,1,0,3,1,2,1,3
"ENSG00000257083",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0
"ENSG00000255976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237766",2,9,6,2,2,8,13,23,10,6,9,6,29,7,1,6,18,2,6,0
"ENSG00000111530",4976,5338,4665,7662,5856,5109,4977,5866,6225,7225,4969,4933,7008,3708,1711,11182,8965,8166,4038,4516
"ENSG00000256037",0,2,0,2,0,0,0,7,3,4,4,0,2,0,2,4,7,0,0,4
"ENSG00000256355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000256172",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000203585",35,6,0,0,21,0,0,8,19,1,2,1,6,4,4,2,17,2,14,15
"ENSG00000256077",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000127334",1804,1695,2217,1809,3046,1080,1286,2152,3960,1911,1903,2037,1622,1400,918,2402,6347,1968,2007,1997
"ENSG00000235872",0,1,4,0,0,1,0,0,2,1,1,0,0,1,1,0,1,0,0,0
"ENSG00000255970",11,11,0,8,32,15,2,13,16,8,4,6,4,3,8,3,30,4,3,10
"ENSG00000255772",2,2,0,0,13,0,0,3,5,5,1,0,1,3,0,1,8,4,5,5
"ENSG00000256835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255733",44,18,5,0,528,6,23,61,280,34,112,26,4,0,40,0,297,2,33,157
"ENSG00000244432",0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236946",13,0,30,0,164,0,2,32,74,2,17,19,0,0,24,2,350,0,20,42
"ENSG00000256708",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000111537",64,96,18,2,1689,0,0,19,30,27,28,28,6,2,4,2,128,4,136,18
"ENSG00000111536",13,0,0,2,14,0,0,11,4,0,6,0,0,0,4,0,43,0,5,12
"ENSG00000127318",0,0,0,0,2,0,0,1,1,0,2,2,1,0,0,0,1,0,0,0
"ENSG00000111554",1027,1206,963,1188,1378,758,745,1624,1594,1515,1148,660,1444,773,308,1458,2308,1098,850,1205
"ENSG00000251301",75,26,43,6,370,2,12,121,164,34,45,100,8,4,34,1,479,5,37,96
"ENSG00000256273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256075",0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1
"ENSG00000256917",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000240087",8,14,32,27,20,18,14,25,15,22,13,8,36,27,7,23,27,21,13,7
"ENSG00000127314",2268,2728,2120,3313,3362,1902,1766,2572,2990,3502,1738,2129,2669,1863,704,4780,4477,3454,2691,2460
"ENSG00000234040",6,8,3,3,4,6,6,2,11,3,0,2,5,9,0,5,2,8,7,0
"ENSG00000206650",0,1,0,1,0,0,0,0,1,2,0,1,2,0,0,0,0,1,0,0
"ENSG00000234925",30,31,17,31,22,15,9,19,24,8,17,16,14,6,7,25,51,12,15,6
"ENSG00000247363",39,16,22,7,33,11,5,21,23,32,35,27,34,19,2,8,100,14,12,36
"ENSG00000241825",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
"ENSG00000111581",1399,1488,1002,2014,1935,1627,1425,1870,1565,1867,1560,1358,1585,989,591,4561,3295,1710,1030,1012
"ENSG00000233560",12,20,14,14,23,22,10,22,13,12,5,47,22,11,4,16,43,2,7,8
"ENSG00000175782",641,657,269,646,598,416,423,687,701,804,428,485,512,475,199,956,878,763,427,497
"ENSG00000251695",72,11,37,19,43,8,7,18,32,27,62,14,32,20,8,25,117,16,37,38
"ENSG00000256678",2,2,2,0,2,1,0,0,0,1,0,0,0,0,7,1,2,0,1,1
"ENSG00000135679",4551,1939,1686,3550,2786,2188,2278,2823,2522,2409,2083,3094,3082,1276,894,6634,4267,3626,1947,2147
"ENSG00000256325",3,1,2,0,1,3,0,3,2,1,0,0,1,0,0,5,0,2,0,1
"ENSG00000135678",568,1150,459,3802,413,2114,1416,1035,612,915,475,2709,2754,440,790,4110,1293,2140,452,606
"ENSG00000252770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257289",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000263910",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000252547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258140",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111605",6638,6444,6145,8383,7483,6268,5119,9190,7879,7124,7954,5153,11164,3628,2265,12763,16207,8040,4125,5403
"ENSG00000257818",13,4,7,17,29,7,21,18,20,10,16,17,14,2,6,20,37,36,8,7
"ENSG00000090382",1086,184,532,521,1107,240,211,1830,761,169,315,1991,488,356,399,929,5274,150,243,267
"ENSG00000127337",527,449,476,520,624,516,364,657,470,786,428,416,775,456,139,861,884,842,490,571
"ENSG00000266185",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000241765",7,2,0,2,4,0,0,2,2,2,0,1,2,2,0,4,3,0,2,0
"ENSG00000257507",2,4,0,2,5,2,1,2,0,0,3,0,0,0,0,2,10,0,3,0
"ENSG00000166225",1164,1740,1385,1716,1516,1487,1166,1669,1455,2195,1207,1005,1681,995,356,3187,2117,2129,1284,972
"ENSG00000264405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166226",2246,4015,5013,5638,3627,3740,3173,3276,3731,4865,2208,3453,3359,2721,1111,9136,5892,5900,2317,2262
"ENSG00000198812",0,0,0,2,0,0,0,0,2,27,2,0,0,0,0,0,0,0,1,10
"ENSG00000127325",0,0,2,0,0,0,0,12,2,3,0,0,9,0,7,4,1,3,0,1
"ENSG00000247131",0,0,0,0,0,0,1,8,0,3,2,2,1,0,1,3,3,2,0,1
"ENSG00000127328",795,919,1497,1174,1167,881,808,1064,1227,1474,933,635,1889,970,298,1814,1727,1291,515,948
"ENSG00000166268",11,9,92,6,26,0,4,6,170,10,159,8,24,16,5,85,31,130,38,7
"ENSG00000257815",314,327,464,228,431,234,194,383,414,325,323,211,398,150,90,571,709,468,141,322
"ENSG00000257241",0,0,3,0,0,0,1,0,1,2,1,0,0,0,0,6,1,2,0,1
"ENSG00000257139",0,1,1,0,0,0,0,0,3,2,1,0,0,2,0,0,1,0,0,1
"ENSG00000257613",9,4,4,11,19,12,16,12,8,8,5,7,4,11,4,16,27,5,4,11
"ENSG00000111596",2790,3172,4334,3828,4115,3128,2504,3738,4004,4201,3484,2428,4507,2664,1114,7083,6028,4335,2610,2562
"ENSG00000135643",235,751,330,472,333,655,288,382,431,795,283,232,739,737,82,670,375,671,413,347
"ENSG00000222405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268721",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"ENSG00000258168",13,20,11,16,14,2,6,22,40,11,5,14,22,5,1,2,176,3,25,27
"ENSG00000127329",3806,8328,4112,10502,2337,4138,5778,5994,4303,7330,2476,2846,6787,6609,1307,5850,3369,6245,4740,6081
"ENSG00000153233",81,135,14,64,34,12,59,150,98,69,12,20,52,281,10,37,18,190,42,76
"ENSG00000257302",0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
"ENSG00000207387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258053",4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"ENSG00000127324",276,1207,267,448,133,143,245,102,144,331,199,62,260,210,77,317,84,235,363,326
"ENSG00000139292",15,46,33,142,13,32,18,16,30,168,29,14,22,31,11,172,47,17,34,36
"ENSG00000257761",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000133858",4802,5143,6361,5140,6629,3841,3501,7118,7946,4124,5627,4108,9194,2774,1944,7996,14339,4778,3790,5016
"ENSG00000212461",0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000173451",427,261,1151,198,425,167,121,397,792,435,473,178,648,239,59,265,1106,386,423,283
"ENSG00000139291",772,1333,1090,1525,1555,626,945,1222,1680,2153,880,1235,1166,1133,368,1767,1855,2525,811,871
"ENSG00000257515",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000080371",3077,4538,3147,4663,3394,3916,2685,3146,3111,5531,2519,2840,3928,2479,832,6816,4615,5216,2866,2869
"ENSG00000257410",32,22,89,68,21,59,30,40,54,46,33,30,59,7,25,84,29,74,37,13
"ENSG00000257991",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121749",2388,2295,3118,3420,2484,3051,1918,2733,2659,3557,2726,2143,4151,1749,728,5705,3716,3425,2260,2493
"ENSG00000257802",9,6,8,3,10,1,2,0,9,0,2,2,17,13,0,6,10,9,7,0
"ENSG00000139287",0,0,3,2,0,0,2,0,0,2,2,0,2,0,0,0,2,2,0,0
"ENSG00000258115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000072657",12,67,18,28,6,36,25,21,15,24,31,8,141,25,6,20,4,20,42,107
"ENSG00000236333",64,42,61,46,26,16,14,33,40,27,115,4,209,21,12,10,24,38,65,149
"ENSG00000257287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243164",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251138",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0
"ENSG00000258320",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000257183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257364",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253719",2985,3973,6308,6571,5086,5465,4425,7310,7448,8435,4721,5009,6814,5539,1561,9082,11120,8339,3586,4064
"ENSG00000257323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000257998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257434",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166006",0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,1,0,0,2
"ENSG00000254451",4,5,0,4,0,0,0,4,2,1,4,2,9,0,0,3,3,5,0,0
"ENSG00000258112",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"ENSG00000180881",641,804,564,778,532,376,677,783,481,850,906,408,1647,271,136,1041,694,821,260,463
"ENSG00000257823",2,0,0,0,2,2,0,0,2,0,4,2,0,1,0,1,0,0,1,0
"ENSG00000173401",33,11,11,25,19,8,9,20,19,18,42,10,31,12,7,13,28,35,8,16
"ENSG00000180481",64,44,232,16,75,143,71,241,143,278,58,22,93,169,24,158,199,275,178,181
"ENSG00000139278",1429,1157,827,845,1893,339,510,1409,1397,865,702,1247,811,340,577,770,3807,405,1243,1552
"ENSG00000257497",28,3,9,34,58,68,30,46,21,60,19,25,10,17,28,151,73,74,28,72
"ENSG00000111615",879,1205,1269,1396,1251,1195,1058,1529,1199,1723,850,801,1270,824,285,2190,2020,1136,914,931
"ENSG00000258077",6,18,6,30,10,3,10,10,4,17,9,20,6,7,15,92,13,7,2,12
"ENSG00000257777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000258245",0,8,6,15,3,2,4,5,2,0,4,18,7,5,2,23,2,13,8,6
"ENSG00000251893",0,1,1,3,8,4,2,3,1,1,0,9,0,2,2,12,4,0,0,2
"ENSG00000258088",0,5,3,23,9,7,7,4,3,13,2,25,4,0,10,62,9,2,4,2
"ENSG00000264062",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198923",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
